{'loss': '0.053', 'grad_norm': '0', 'learning_rate': '9.083e-06', 'num_tokens': '6.058e+05', 'completions/mean_length': '9.85', 'completions/min_length': '6.2', 'completions/max_length': '19.4', 'completions/clipped_ratio': '0.05', 'completions/mean_terminated_length': '6.967', 'completions/min_terminated_length': '6.2', 'completions/max_terminated_length': '8.2', 'rewards/reward_func/mean': '-0.04929', 'rewards/reward_func/std': '0.4614', 'reward': '-0.04929', 'reward_std': '0.4614', 'frac_reward_zero_std': '0.2', 'entropy': '0.2077', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '4.006', 'epoch': '0.02753'}
{'loss': '-0.005966', 'grad_norm': '2.242', 'learning_rate': '9.5e-06', 'num_tokens': '6.357e+05', 'completions/mean_length': '6.9', 'completions/min_length': '6.6', 'completions/max_length': '7.4', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.9', 'completions/min_terminated_length': '6.6', 'completions/max_terminated_length': '7.4', 'rewards/reward_func/mean': '0.28', 'rewards/reward_func/std': '0.7019', 'reward': '0.28', 'reward_std': '0.7019', 'frac_reward_zero_std': '0.2', 'entropy': '0.1722', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '4.106', 'epoch': '0.02879'}
{'loss': '0.03102', 'grad_norm': '3.519', 'learning_rate': '9.917e-06', 'num_tokens': '6.611e+05', 'completions/mean_length': '7.65', 'completions/min_length': '7', 'completions/max_length': '8.6', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '7.65', 'completions/min_terminated_length': '7', 'completions/max_terminated_length': '8.6', 'rewards/reward_func/mean': '0.57', 'rewards/reward_func/std': '0.46', 'reward': '0.57', 'reward_std': '0.46', 'frac_reward_zero_std': '0.4', 'entropy': '0.1213', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.6', 'epoch': '0.03004'}
{'loss': '-0.05831', 'grad_norm': '0', 'learning_rate': '9.99e-06', 'num_tokens': '6.879e+05', 'completions/mean_length': '6.65', 'completions/min_length': '6.2', 'completions/max_length': '7', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.65', 'completions/min_terminated_length': '6.2', 'completions/max_terminated_length': '7', 'rewards/reward_func/mean': '0.68', 'rewards/reward_func/std': '0.2231', 'reward': '0.68', 'reward_std': '0.2231', 'frac_reward_zero_std': '0.6', 'entropy': '0.1331', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.607', 'epoch': '0.03129'}
{'loss': '-0.08719', 'grad_norm': '15', 'learning_rate': '9.977e-06', 'num_tokens': '7.172e+05', 'completions/mean_length': '7', 'completions/min_length': '5.6', 'completions/max_length': '8.2', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '7', 'completions/min_terminated_length': '5.6', 'completions/max_terminated_length': '8.2', 'rewards/reward_func/mean': '-0.235', 'rewards/reward_func/std': '0.7208', 'reward': '-0.235', 'reward_std': '0.7208', 'frac_reward_zero_std': '0', 'entropy': '0.1671', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.972', 'epoch': '0.03254'}
{'loss': '-0.02064', 'grad_norm': '0', 'learning_rate': '9.964e-06', 'num_tokens': '7.463e+05', 'completions/mean_length': '6.75', 'completions/min_length': '6', 'completions/max_length': '7', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.75', 'completions/min_terminated_length': '6', 'completions/max_terminated_length': '7', 'rewards/reward_func/mean': '-0.0375', 'rewards/reward_func/std': '0.4029', 'reward': '-0.0375', 'reward_std': '0.4029', 'frac_reward_zero_std': '0.4', 'entropy': '0.1681', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.859', 'epoch': '0.03379'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '9.951e-06', 'num_tokens': '7.747e+05', 'completions/mean_length': '7.25', 'completions/min_length': '7', 'completions/max_length': '8', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '7.25', 'completions/min_terminated_length': '7', 'completions/max_terminated_length': '8', 'rewards/reward_func/mean': '1.2', 'rewards/reward_func/std': '0', 'reward': '1.2', 'reward_std': '0', 'frac_reward_zero_std': '1', 'entropy': '0.0855', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.883', 'epoch': '0.03504'}
{'loss': '0.08556', 'grad_norm': '2.582', 'learning_rate': '9.938e-06', 'num_tokens': '8.049e+05', 'completions/mean_length': '12.5', 'completions/min_length': '6.4', 'completions/max_length': '18.4', 'completions/clipped_ratio': '0.1', 'completions/mean_terminated_length': '6.75', 'completions/min_terminated_length': '6.4', 'completions/max_terminated_length': '7', 'rewards/reward_func/mean': '-0.1214', 'rewards/reward_func/std': '0.4606', 'reward': '-0.1214', 'reward_std': '0.4606', 'frac_reward_zero_std': '0.4', 'entropy': '0.1259', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '4.273', 'epoch': '0.0363'}
{'loss': '-0.06928', 'grad_norm': '0', 'learning_rate': '9.925e-06', 'num_tokens': '8.317e+05', 'completions/mean_length': '6.6', 'completions/min_length': '6.2', 'completions/max_length': '7', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.6', 'completions/min_terminated_length': '6.2', 'completions/max_terminated_length': '7', 'rewards/reward_func/mean': '0.58', 'rewards/reward_func/std': '0.254', 'reward': '0.58', 'reward_std': '0.254', 'frac_reward_zero_std': '0.8', 'entropy': '0.1416', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.651', 'epoch': '0.03755'}
{'loss': '-0.08832', 'grad_norm': '0', 'learning_rate': '9.912e-06', 'num_tokens': '8.601e+05', 'completions/mean_length': '6.55', 'completions/min_length': '6', 'completions/max_length': '8', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.55', 'completions/min_terminated_length': '6', 'completions/max_terminated_length': '8', 'rewards/reward_func/mean': '-0.13', 'rewards/reward_func/std': '0.4509', 'reward': '-0.13', 'reward_std': '0.4509', 'frac_reward_zero_std': '0.6', 'entropy': '0.14', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.935', 'epoch': '0.0388'}
